Date,Province,Region,Last Update,Confirmed,Deaths,Recovered
2/5/2020 12:20,Heilongjiang,Mainland China,2/5/2020 12:13,190,2,7
2/5/2020 12:20,Shaanxi,Mainland China,2/5/2020 8:43,165,0,6
2/5/2020 12:20,Guangxi,Mainland China,2/5/2020 12:03,150,0,13
2/5/2020 12:20,Hebei,Mainland China,2/5/2020 11:23,135,1,6
2/5/2020 12:20,Yunnan,Mainland China,2/5/2020 7:43,124,0,5
2/5/2020 12:20,Hainan,Mainland China,2/5/2020 16:43,99,1,5
2/5/2020 12:20,Liaoning,Mainland China,2/5/2020 15:23,89,0,4
2/5/2020 12:20,Shanxi,Mainland China,2/5/2020 15:23,81,0,5
2/5/2020 12:20,Tianjin,Mainland China,2/5/2020 3:43,69,1,2
2/5/2020 12:20,Guizhou,Mainland China,2/5/2020 12:33,64,1,9
2/5/2020 12:20,Gansu,Mainland China,2/5/2020 16:23,62,0,6
2/5/2020 12:20,Jilin,Mainland China,2/5/2020 11:03,54,0,2
2/5/2020 12:20,Inner Mongolia,Mainland China,2/5/2020 8:53,42,0,3
2/5/2020 12:20,Ningxia,Mainland China,2/4/2020 2:13,34,0,1
2/5/2020 12:20,Xinjiang,Mainland China,2/5/2020 2:03,32,0,0
2/5/2020 12:20,,Singapore,2/5/2020 16:33,28,0,0
2/5/2020 12:20,,Thailand,2/4/2020 15:33,25,0,5
2/5/2020 12:20,,Japan,2/4/2020 16:43,22,0,1
2/5/2020 12:20,Hong Kong,Hong Kong,2/5/2020 13:13,21,1,0
2/5/2020 12:20,,South Korea,2/5/2020 15:33,19,0,0
2/5/2020 12:20,Qinghai,Mainland China,2/5/2020 3:13,17,0,3
2/5/2020 12:20,,Germany,2/3/2020 20:53,12,0,0
2/5/2020 12:20,,Malaysia,2/5/2020 15:43,12,0,0
2/5/2020 12:20,Taiwan,Taiwan,2/4/2020 14:53,11,0,0
2/5/2020 12:20,Macau,Macau,2/4/2020 4:43,10,0,0
2/5/2020 12:20,,Vietnam,2/3/2020 21:43,8,0,1
2/5/2020 12:20,,France,2/1/2020 1:52,6,0,0
2/5/2020 12:20,,United Arab Emirates,2/2/2020 5:43,5,0,0
2/5/2020 12:20,New South Wales,Australia,2/1/2020 18:12,4,0,2
2/5/2020 12:20,Victoria,Australia,2/1/2020 18:12,4,0,0
2/5/2020 12:20,Queensland,Australia,2/4/2020 16:53,3,0,0
2/5/2020 12:20,,India,2/3/2020 21:43,3,0,0
2/5/2020 12:20,South Australia,Australia,2/2/2020 22:33,2,0,0
